Area	Zone	lat	lng
1	1	33.8251	-101.0997
1	1	33.8251	-101.0997
1	1	33.8251	-101.0997
1	1	33.8251	-101.0997
1	1	33.8251	-101.0997
7	1	29.9418	-95.5306
7	1	29.9418	-95.5306
7	1	29.9418	-95.5306
8	1	30.5924	-95.9178
8	1	30.5924	-95.9178
8	1	30.5924	-95.9178
7	1	29.9418	-95.5306
7	1	29.9418	-95.5306
7	1	29.9418	-95.5306
3	1	31.3603	-99.5514
3	1	31.3603	-99.5514
3	1	31.3603	-99.5514
3	1	31.3603	-99.5514
3	1	31.3603	-99.5514
4	1	26.3489	-97.6668
4	1	26.3489	-97.6668
4	1	26.3489	-97.6668
4	1	26.3489	-97.6668
4	1	26.3489	-97.6668
7	1	29.8222	-95.2194
7	1	29.8222	-95.2194
7	1	29.8222	-95.2194
3	1	32.4694	-100.6664
3	1	32.4694	-100.6664
3	1	32.4694	-100.6664
3	1	32.1982	-100.2686
3	1	32.1982	-100.2686
3	1	32.1982	-100.2686
3	1	31.0855	-100.6788
3	1	31.0855	-100.6788
3	1	31.0855	-100.6788
2	1	32.9698	-100.5242
2	1	32.9698	-100.5242
2	1	32.9698	-100.5242
2	1	32.9698	-100.5242
2	1	32.9698	-100.5242
4	1	27.4462	-99.4742
4	1	27.4462	-99.4742
4	1	27.4462	-99.4742
4	1	27.4462	-99.4742
4	1	27.4462	-99.4742
2	1	33.9153	-99.7403
2	1	33.9153	-99.7403
2	1	33.9153	-99.7403
2	1	33.9153	-99.7403
2	1	33.9153	-99.7403
1	1	31.5839	-102.9633
1	1	31.5839	-102.9633
1	1	31.5839	-102.9633
8	1	32.1246	-96.1013
8	1	32.1246	-96.1013
8	1	32.1246	-96.1013
2	1	33.4982	-96.3789
2	1	33.4982	-96.3789
2	1	33.4982	-96.3789
7	1	29.7189	-95.2319
7	1	29.7189	-95.2319
7	1	29.7189	-95.2319
1	1	31.255	-102.272
1	1	31.255	-102.272
1	1	31.255	-102.272
1	1	31.8414	-102.315
1	1	31.8414	-102.315
1	1	31.8414	-102.315
1	1	31.8414	-102.315
1	1	31.8414	-102.315
3	1	32.3182	-100.177
3	1	32.3182	-100.177
3	1	32.3182	-100.177
3	1	32.3182	-100.177
3	1	32.3182	-100.177
3	1	31.8908	-96.1131
3	1	31.8908	-96.1131
3	1	31.8908	-96.1131
6	1	30.2934	-97.7844
6	1	30.2934	-97.7844
6	1	30.2934	-97.7844
2	1	33.7039	-97.372
2	1	33.7039	-97.372
2	1	33.7039	-97.372
2	1	33.7039	-97.372
2	1	33.7039	-97.372
1	1	32.4601	-102.6728
1	1	32.4601	-102.6728
1	1	32.4601	-102.6728
5	1	33.646	-99.5329
5	1	33.646	-99.5329
5	1	33.646	-99.5329
5	1	33.646	-99.5329
5	1	33.646	-99.5329
2	1	33.4982	-96.3789
2	1	33.4982	-96.3789
2	1	33.4982	-96.3789
2	1	33.7039	-97.372
2	1	33.7039	-97.372
2	1	33.7039	-97.372
8	1	32.1246	-96.1013
8	1	32.1246	-96.1013
8	1	32.1246	-96.1013
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
5	1	26.4656	-98.4111
5	1	26.4656	-98.4111
5	1	26.4656	-98.4111
5	1	26.4656	-98.4111
5	1	26.4656	-98.4111
1	1	30.9514	-102.4141
1	1	30.9514	-102.4141
1	1	30.9514	-102.4141
3	1	32.5145	-99.6564
3	1	32.5145	-99.6564
3	1	32.5145	-99.6564
3	1	32.5145	-99.6564
3	1	32.5145	-99.6564
3	1	32.1982	-100.2686
3	1	32.1982	-100.2686
3	1	32.1982	-100.2686
3	1	32.1982	-100.2686
3	1	32.1982	-100.2686
1	1	32.1408	-101.3986
1	1	32.1408	-101.3986
1	1	32.1408	-101.3986
1	1	32.2732	-101.4224
1	1	32.2732	-101.4224
1	1	32.2732	-101.4224
1	1	32.2732	-101.4224
3	1	31.0486	-100.6231
3	1	31.0486	-100.6231
3	1	31.0486	-100.6231
3	1	31.0486	-100.6231
3	1	31.0486	-100.6231
1	1	31.7433	-101.4934
1	1	31.7433	-101.4934
1	1	31.7433	-101.4934
3	1	31.3603	-99.5514
3	1	31.3603	-99.5514
3	1	31.3603	-99.5514
3	1	31.3603	-99.5514
3	1	31.3603	-99.5514
4	1	26.5223	-97.6911
4	1	26.5223	-97.6911
4	1	26.5223	-97.6911
4	1	26.5223	-97.6911
4	1	26.5223	-97.6911
4	1	26.4512	-98.1775
4	1	26.4512	-98.1775
4	1	26.4512	-98.1775
4	1	26.4512	-98.1775
4	1	26.4512	-98.1775
4	1	26.4754	-97.6911
4	1	26.4754	-97.6911
4	1	26.4754	-97.6911
4	1	26.4754	-97.6911
4	1	26.4754	-97.6911
1	1	31.8414	-102.315
1	1	31.8414	-102.315
1	1	31.8414	-102.315
1	1	32.2353	-101.8367
1	1	32.2353	-101.8367
1	1	32.2353	-101.8367
7	1	29.4829	-95.6311
7	1	29.4829	-95.6311
7	1	29.4829	-95.6311
7	1	29.7029	-95.0718
7	1	29.7029	-95.0718
7	1	29.7029	-95.0718
7	1	29.6226	-95.0458
7	1	29.6226	-95.0458
7	1	29.6226	-95.0458
5	1	31.4745	-96.9571
5	1	31.4745	-96.9571
5	1	31.4745	-96.9571
5	1	31.4745	-96.9571
5	1	31.4745	-96.9571
4	1	26.6491	-99.0387
4	1	26.6491	-99.0387
4	1	26.6491	-99.0387
4	1	26.6491	-99.0387
4	1	26.6491	-99.0387
1	1	32.4601	-102.6728
1	1	32.4601	-102.6728
1	1	32.4601	-102.6728
1	1	31.995	-102.8283
1	1	31.995	-102.8283
1	1	31.995	-102.8283
1	1	31.995	-102.8283
1	1	31.995	-102.8283
2	1	33.6968	-95.5577
2	1	33.6968	-95.5577
2	1	33.6968	-95.5577
1	1	33.1509	-101.6792
1	1	33.1509	-101.6792
1	1	33.1509	-101.6792
1	1	33.1509	-101.6792
1	1	33.1509	-101.6792
1	1	32.9264	-101.6478
1	1	32.9264	-101.6478
1	1	32.9264	-101.6478
1	1	32.9264	-101.6478
1	1	32.9264	-101.6478
3	1	31.952	-100.7914
3	1	31.952	-100.7914
3	1	31.952	-100.7914
3	1	31.952	-100.7914
3	1	31.952	-100.7914
4	1	27.9959	-97.2967
4	1	27.9959	-97.2967
4	1	27.9959	-97.2967
2	1	33.6968	-95.5577
2	1	33.6968	-95.5577
2	1	33.6968	-95.5577
5	1	33.1662	-96.1726
5	1	33.1662	-96.1726
5	1	33.1662	-96.1726
5	1	33.1612	-96.2397
5	1	33.1612	-96.2397
5	1	33.1612	-96.2397
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.7128	-97.2142
4	1	28.7128	-97.2142
4	1	28.7128	-97.2142
1	1	30.9514	-102.4141
1	1	30.9514	-102.4141
1	1	30.9514	-102.4141
5	1	33.1662	-96.1726
5	1	33.1662	-96.1726
5	1	33.1662	-96.1726
8	1	29.2559	-95.2103
8	1	29.2559	-95.2103
8	1	29.2559	-95.2103
1	1	30.96	-103.35
1	1	30.96	-103.35
1	1	30.96	-103.35
1	1	30.9602	-103.3067
1	1	30.9602	-103.3067
1	1	30.9602	-103.3067
1	1	31.9362	-101.2983
1	1	31.9362	-101.2983
1	1	31.9362	-101.2983
1	1	31.9362	-101.2983
1	1	31.9362	-101.2983
1	1	31.9925	-101.1167
1	1	31.9925	-101.1167
1	1	31.9925	-101.1167
1	1	31.9925	-101.1167
1	1	31.9925	-101.1167
3	1	31.1125	-100.0281
3	1	31.1125	-100.0281
3	1	31.1125	-100.0281
1	1	31.952	-101.0189
1	1	31.952	-101.0189
1	1	31.952	-101.0189
1	1	31.8403	-102.3264
1	1	31.8403	-102.3264
1	1	31.8403	-102.3264
4	1	26.126	-97.3776
4	1	26.126	-97.3776
4	1	26.126	-97.3776
4	1	26.126	-97.3776
4	1	26.126	-97.3776
4	1	25.9131	-97.5214
4	1	25.9131	-97.5214
3	1	32.7181	-100.7933
3	1	32.7181	-100.7933
3	1	32.7181	-100.7933
3	1	32.7181	-100.7933
3	1	32.7181	-100.7933
5	1	32.7283	-97.2192
5	1	32.7283	-97.2192
4	1	26.3806	-98.8183
4	1	26.3806	-98.8183
5	1	32.4302	-97.0537
5	1	32.4302	-97.0537
5	1	32.4302	-97.0537
5	1	32.32	-96.675
5	1	32.32	-96.675
5	1	32.32	-96.675
8	1	31.8908	-96.1131
8	1	31.8908	-96.1131
8	1	31.8908	-96.1131
7	1	28.795	-96.0481
7	1	28.795	-96.0481
5	1	32.7563	-96.4916
5	1	32.7563	-96.4916
5	1	32.7563	-96.4916
5	1	32.7563	-96.4916
5	1	32.7563	-96.4916
2	1	33.3454	-99.6243
2	1	33.3454	-99.6243
2	1	33.3454	-99.6243
2	1	33.3454	-99.6243
2	1	33.3454	-99.6243
7	1	29.4924	-94.9848
7	1	29.4924	-94.9848
7	1	29.4924	-94.9848
2	1	33.6308	-95.59
2	1	33.6308	-95.59
2	1	33.6308	-95.59
2	1	33.6308	-95.59
2	1	33.6308	-95.59
2	1	33.6308	-95.59
5	1	33.1708	-96.1264
5	1	33.1708	-96.1264
5	1	33.1708	-96.1264
7	1	29.198	-96.6616
7	1	29.198	-96.6616
7	1	29.198	-96.6616
7	1	29.198	-96.6616
7	1	29.2786	-95.9966
7	1	29.2786	-95.9966
7	1	29.2786	-95.9966
7	1	29.2786	-95.9966
7	1	28.7913	-95.95
7	1	28.7913	-95.95
7	1	28.7913	-95.95
7	1	28.7913	-95.95
7	1	29.3807	-96.1052
7	1	29.3807	-96.1052
7	1	29.3807	-96.1052
7	1	29.3807	-96.1052
7	1	29.5208	-96.0832
7	1	29.5208	-96.0832
7	1	29.5208	-96.0832
7	1	29.5208	-96.0832
7	1	29.1414	-96.3216
7	1	29.1414	-96.3216
7	1	29.1414	-96.3216
7	1	29.1414	-96.3216
7	1	29.2599	-96.2944
7	1	29.2599	-96.2944
7	1	29.2599	-96.2944
7	1	29.2599	-96.2944
7	1	29.2996	-96.1336
7	1	29.2996	-96.1336
7	1	29.2996	-96.1336
7	1	29.2996	-96.1336
7	1	28.8052	-95.6462
7	1	28.8052	-95.6462
7	1	28.8052	-95.6462
7	1	28.8052	-95.6462
7	1	29.437	-96.4084
7	1	29.437	-96.4084
7	1	29.437	-96.4084
7	1	29.437	-96.4084
7	1	29.449	-96.296
7	1	29.449	-96.296
7	1	29.449	-96.296
7	1	29.449	-96.296
7	1	29.2453	-96.4161
7	1	29.2453	-96.4161
7	1	29.2453	-96.4161
7	1	29.2453	-96.4161
7	1	29.0384	-96.493
7	1	29.0384	-96.493
7	1	29.0384	-96.493
7	1	29.0384	-96.493
7	1	29.1308	-96.455
7	1	29.1308	-96.455
7	1	29.1308	-96.455
7	1	29.1308	-96.455
7	1	29.0306	-96.3557
7	1	29.0306	-96.3557
7	1	29.0306	-96.3557
7	1	29.0306	-96.3557
7	1	29.3383	-96.315
7	1	29.3383	-96.315
7	1	29.3383	-96.315
7	1	29.3383	-96.315
7	1	29.3429	-95.9799
7	1	29.3429	-95.9799
7	1	29.3429	-95.9799
7	1	29.3429	-95.9799
7	1	29.1101	-95.9264
7	1	29.1101	-95.9264
7	1	29.1101	-95.9264
7	1	29.1101	-95.9264
7	1	29.145	-96.1938
7	1	29.145	-96.1938
7	1	29.145	-96.1938
7	1	29.145	-96.1938
7	1	29.0511	-96.1936
7	1	29.0511	-96.1936
7	1	29.0511	-96.1936
7	1	29.0511	-96.1936
7	1	28.9073	-96.1453
7	1	28.9073	-96.1453
7	1	28.9073	-96.1453
7	1	28.9073	-96.1453
7	1	28.9922	-95.8483
7	1	28.9922	-95.8483
7	1	28.9922	-95.8483
7	1	28.9922	-95.8483
7	1	28.7692	-96.2525
7	1	28.7692	-96.2525
7	1	28.7692	-96.2525
7	1	28.7692	-96.2525
7	1	28.931	-96.2976
7	1	28.931	-96.2976
7	1	28.931	-96.2976
7	1	28.931	-96.2976
7	1	28.8694	-96.1149
7	1	28.8694	-96.1149
7	1	28.8694	-96.1149
7	1	28.8694	-96.1149
7	1	28.7222	-96.1372
7	1	28.7222	-96.1372
7	1	28.7222	-96.1372
7	1	28.7222	-96.1372
7	1	28.6712	-95.9678
7	1	28.6712	-95.9678
7	1	28.6712	-95.9678
7	1	28.6712	-95.9678
7	1	29.0912	-95.815
7	1	29.0912	-95.815
7	1	29.0912	-95.815
7	1	29.0912	-95.815
7	1	29.1481	-96.6273
7	1	29.1481	-96.6273
7	1	29.1481	-96.6273
7	1	29.1481	-96.6273
7	1	29.029	-96.0895
7	1	29.4893	-96.3969
7	1	28.9498	-95.7616
7	1	28.9155	-95.9502
7	1	28.8077	-95.8324
7	1	28.9	-96.4378
7	1	29.4375	-96.1569
7	1	29.4023	-96.4856
7	1	29.1976	-96.0197
7	1	28.9119	-95.9883
7	1	28.9119	-95.9883
7	1	29.1978	-96.2768
7	1	29.787	-95.928
7	1	29.5876	-96.3318
7	1	29.7747	-96.1596
7	1	29.3173	-96.0917
7	1	29.0388	-96.5128
7	1	29.1914	-96.2944
7	1	28.9816	-95.9635
7	1	28.7094	-96.2184
7	1	29.7783	-95.9684
7	1	28.9708	-95.9589
7	1	29.1419	-96.6782
7	1	29.8888	-95.9792
7	1	29.7787	-96.1026
7	1	29.8062	-95.9065
7	1	29.7056	-96.1545
7	1	29.8191	-96.0787
7	1	30.0043	-96.008
7	1	29.6016	-96.1754
7	1	29.8518	-95.8853
7	1	29.9359	-96.003
7	1	29.8338	-96.0009
7	1	30.1601	-95.8343
7	1	29.5695	-96.3166
7	1	29.9155	-96.0561
7	1	30.1228	-95.816
7	1	30.0384	-95.9381
7	1	29.9893	-95.9296
7	1	29.7444	-96.0428
7	1	29.6168	-96.0683
7	1	29.7928	-95.8293
7	1	29.7843	-96.144
7	1	29.7629	-96.2186
7	1	29.7629	-96.2186
7	1	29.8442	-95.2724
7	1	29.8442	-95.2724
7	1	29.9075	-95.3677
7	1	29.9407	-95.2604
7	1	29.9407	-95.2604
7	1	29.8873	-95.2812
7	1	29.8642	-95.3097
7	1	29.8915	-95.3343
7	1	29.8915	-95.3343
7	1	29.9289	-95.2827
7	1	29.9162	-95.3585
7	1	29.9162	-95.3585
7	1	29.8543	-95.3327
7	1	29.8543	-95.3327
7	1	29.9389	-95.3024
7	1	29.9389	-95.3024
7	1	29.8931	-95.314
7	1	29.8228	-95.2937
7	1	29.8668	-95.5796
7	1	29.9182	-95.6527
7	1	29.8587	-95.5893
7	1	29.8658	-95.6098
7	1	29.8694	-95.6006
7	1	29.8991	-95.6793
7	1	29.8625	-95.7007
7	1	29.867	-95.5896
7	1	29.8568	-95.6639
7	1	29.8568	-95.6639
7	1	29.8568	-95.6639
7	1	29.8568	-95.6639
7	1	29.8757	-95.5803
7	1	29.8577	-95.6009
7	1	29.8958	-95.623
7	1	29.8805	-95.6148
7	1	29.8644	-95.6148
7	1	29.864	-95.6304
7	1	29.8778	-95.5847
7	1	29.8437	-95.6781
7	1	29.88	-95.6012
7	1	29.8474	-95.5992
7	1	29.8704	-95.5941
7	1	29.8158	-95.6671
7	1	29.8891	-95.5936
7	1	29.8813	-95.5784
7	1	29.8997	-95.689
7	1	29.8907	-95.6216
7	1	29.8996	-95.6368
7	1	29.8483	-95.6355
7	1	29.8446	-95.6624
7	1	29.9005	-95.6273
7	1	29.9015	-95.6735
7	1	29.9015	-95.6735
7	1	29.8436	-95.7073
7	1	29.8501	-95.7207
7	1	29.9221	-95.6459
7	1	29.9066	-95.6465
7	1	29.883	-95.7141
7	1	29.8898	-95.7132
7	1	29.8579	-95.712
7	1	29.9134	-95.7028
7	1	29.8886	-95.6108
7	1	29.8744	-95.6765
7	1	29.8814	-95.6207
7	1	29.8614	-95.6566
7	1	29.8676	-95.7142
7	1	29.8704	-95.7312
7	1	29.9001	-95.7211
7	1	29.8587	-95.6174
7	1	29.8499	-95.6123
7	1	29.9376	-95.6697
7	1	29.9304	-95.6792
7	1	29.934	-95.7059
7	1	29.9195	-95.6786
7	1	29.9288	-95.6703
7	1	29.9169	-95.6613
7	1	29.9168	-95.6367
7	1	29.9086	-95.6619
7	1	29.8909	-95.701
7	1	29.8838	-95.7002
7	1	29.8856	-95.6852
7	1	29.8859	-95.671
7	1	29.8969	-95.6632
7	1	29.8947	-95.6508
7	1	29.8824	-95.6549
7	1	29.8823	-95.6423
7	1	29.87	-95.689
7	1	29.866	-95.676
7	1	29.8548	-95.6777
7	1	29.8386	-95.7009
7	1	29.8724	-95.6644
7	1	29.8681	-95.64
7	1	29.851	-95.6441
7	1	29.8554	-95.6526
7	1	29.8411	-95.6507
7	1	29.8401	-95.6387
7	1	29.8312	-95.683
7	1	29.838	-95.6685
7	1	29.8198	-95.681
7	1	29.8267	-95.6455
7	1	29.8746	-95.5929
7	1	29.8747	-95.5929
7	1	29.8747	-95.5929
7	1	29.8853	-95.5944
7	1	29.8789	-95.6331
7	1	29.8873	-95.6586
7	1	29.889	-95.6834
7	1	29.8726	-95.6182
7	1	29.8905	-95.6114
7	1	29.9357	-95.6838
7	1	29.8853	-95.7257
7	1	29.8662	-95.725
7	1	29.8745	-95.711
7	1	29.8745	-95.711
7	1	29.911	-95.6344
7	1	29.8573	-95.6904
7	1	29.867	-95.6158
7	1	29.9203	-95.6475
7	1	29.907	-95.677
7	1	29.9015	-95.6086
7	1	29.8841	-95.5879
7	1	29.9038	-95.6889
7	1	29.854	-95.7085
7	1	29.892	-95.7185
7	1	29.9085	-95.7034
7	1	29.9065	-95.6214
7	1	29.8618	-95.7323
7	1	29.1349	-95.0878
7	1	29.1963	-94.9629
7	1	29.1963	-94.9629
7	1	29.1356	-95.0514
7	1	29.1356	-95.0514
7	1	30.1909	-95.2628
7	1	30.1909	-95.2628
7	1	30.2259	-95.1541
7	1	30.2259	-95.1541
7	1	30.2259	-95.1541
7	1	30.2259	-95.1541
7	1	30.2369	-95.2675
7	1	30.2082	-95.3093
7	1	30.1368	-95.2702
7	1	30.2891	-95.1777
7	1	30.2203	-95.1599
7	1	30.1804	-95.2042
7	1	30.1616	-95.1497
7	1	30.1099	-95.2828
7	1	30.1407	-95.0934
7	1	30.3289	-95.1671
7	1	30.1386	-95.2213
7	1	30.1386	-95.2213
7	1	30.1137	-95.2381
7	1	30.174	-95.2764
7	1	29.7154	-95.414
7	1	29.6833	-95.4301
7	1	29.7408	-95.4139
7	1	29.6853	-95.4373
7	1	29.744	-95.4347
7	1	29.744	-95.4347
7	1	29.6835	-95.5023
7	1	29.7357	-95.5124
7	1	29.6924	-95.4736
7	1	29.7517	-95.4719
7	1	29.7244	-95.4588
7	1	29.7234	-95.5072
7	1	29.6986	-95.5149
7	1	29.6986	-95.5149
7	1	29.669	-95.4713
7	1	29.7135	-95.5271
7	1	29.7343	-95.4829
7	1	29.7343	-95.4829
7	1	29.7131	-95.4398
7	1	29.7131	-95.4398
7	1	29.7666	-95.4635
7	1	29.7147	-95.4105
7	1	29.7147	-95.4105
7	1	29.6856	-95.4011
7	1	29.6856	-95.4011
7	1	29.7068	-95.4854
7	1	29.7068	-95.4854
7	1	29.4152	-95.2575
7	1	29.4152	-95.2575
7	1	29.4152	-95.2575
7	1	29.4152	-95.2575
7	1	29.3875	-95.2158
7	1	29.458	-95.2976
7	1	29.4373	-95.3548
7	1	29.3693	-95.3351
7	1	29.3108	-95.2699
7	1	29.3783	-95.2631
7	1	29.4555	-95.2307
7	1	29.2503	-95.2225
7	1	29.3218	-95.3587
7	1	30.3207	-95.4001
7	1	30.3207	-95.4001
7	1	30.3495	-95.428
7	1	30.3176	-95.4891
7	1	30.3351	-95.2915
7	1	30.3351	-95.2915
7	1	30.2751	-95.4458
7	1	30.392	-95.3619
7	1	30.4008	-95.3009
7	1	30.2694	-95.3591
7	1	30.3066	-95.27
7	1	30.3178	-95.4587
7	1	30.3177	-95.4587
7	1	30.3177	-95.4587
7	1	30.1305	-95.5286
7	1	30.1459	-95.5465
7	1	30.1459	-95.5465
7	1	30.1916	-95.5825
7	1	30.1788	-95.6111
7	1	30.1198	-95.5735
7	1	30.2484	-95.5748
7	1	30.2254	-95.5293
7	1	30.222	-95.5877
7	1	30.222	-95.5877
7	1	30.2374	-95.4965
7	1	30.2042	-95.4868
7	1	30.183	-95.5433
7	1	30.1572	-95.5028
7	1	30.1751	-95.4954
7	1	30.1751	-95.4954
7	1	30.2056	-95.5375
7	1	30.2056	-95.5375
7	1	30.5615	-95.4099
7	1	30.5277	-95.5311
7	1	29.7942	-95.0333
7	1	29.7942	-95.0333
7	1	29.7737	-94.9777
7	1	29.7346	-95.0069
7	1	29.7517	-95.0003
7	1	29.7375	-94.9593
7	1	29.7375	-94.9593
7	1	29.8452	-94.8782
7	1	29.8251	-94.8372
7	1	29.8251	-94.8372
7	1	29.8251	-94.8372
7	1	29.8251	-94.8372
7	1	29.7845	-94.9174
7	1	29.8206	-94.9885
7	1	29.7297	-94.8619
7	1	29.8838	-94.8041
7	1	29.7932	-94.7495
7	1	29.781	-94.9402
7	1	29.781	-94.9402
7	1	29.7303	-94.9458
7	1	29.7694	-95.2303
7	1	29.7936	-95.1364
7	1	29.7664	-95.1107
7	1	29.7542	-95.2127
7	1	29.7542	-95.2127
7	1	29.7542	-95.2127
7	1	29.7542	-95.2127
7	1	29.7858	-95.1775
7	1	29.7858	-95.1775
7	1	29.772	-95.1631
7	1	29.8047	-95.1217
7	1	29.8047	-95.1217
7	1	29.8047	-95.1217
7	1	29.8543	-95.1977
7	1	29.842	-95.1801
7	1	29.842	-95.1801
7	1	29.8154	-95.17
7	1	29.7963	-95.2648
7	1	29.745	-95.1721
7	1	29.8024	-95.2252
7	1	29.8061	-95.1953
7	1	29.7569	-95.124
7	1	29.7637	-95.1026
7	1	29.7637	-95.1026
7	1	29.7753	-95.2607
7	1	29.5703	-95.1227
7	1	29.5703	-95.1227
7	1	29.5703	-95.1227
7	1	29.5703	-95.1227
7	1	29.5476	-95.0948
7	1	29.5688	-95.1124
7	1	29.5306	-95.0307
7	1	29.5306	-95.0307
7	1	29.577	-95.0423
7	1	29.577	-95.0423
7	1	29.577	-95.0423
7	1	29.577	-95.0423
7	1	29.577	-95.0423
7	1	29.5364	-95.1231
7	1	29.5364	-95.1231
7	1	29.508	-95.0208
7	1	29.5664	-95.1382
7	1	29.4972	-95.1242
7	1	29.4972	-95.1242
7	1	29.5748	-95.0184
7	1	29.4937	-95.1565
7	1	29.479	-95.1268
7	1	29.4711	-95.0763
7	1	29.5385	-95.0653
7	1	29.5224	-95.0496
7	1	29.4991	-94.9946
7	1	29.507	-95.0854
7	1	29.507	-95.0854
7	1	29.4754	-95.041
7	1	29.5811	-95.0574
7	1	29.5318	-95.1718
7	1	29.5318	-95.1718
7	1	29.6108	-95.2581
7	1	29.5911	-95.2809
7	1	29.5911	-95.2809
7	1	29.5948	-95.2348
7	1	29.5999	-95.2147
7	1	29.5204	-95.2841
7	1	29.5447	-95.2473
7	1	29.5471	-95.2959
7	1	29.5412	-95.1873
7	1	29.5948	-95.1815
7	1	29.5664	-95.2724
7	1	29.5745	-95.1484
7	1	29.5711	-95.2311
7	1	29.5285	-95.2204
7	1	29.4913	-95.2179
7	1	29.5078	-95.1924
7	1	29.5461	-95.2163
7	1	29.5461	-95.2163
7	1	29.5849	-95.2102
7	1	29.5849	-95.2102
7	1	28.9711	-95.3739
7	1	28.9711	-95.3739
7	1	28.9651	-95.3203
7	1	29.0568	-95.4294
7	1	29.0514	-95.3897
7	1	29.0333	-95.467
7	1	29.0255	-95.4443
7	1	28.7928	-95.5733
7	1	29.025	-95.4167
7	1	29.025	-95.4167
7	1	28.9497	-95.5128
7	1	28.9497	-95.5128
7	1	29.528	-95.9789
7	1	29.6854	-95.9903
7	1	29.6107	-95.9766
7	1	29.472	-96.0105
7	1	29.6786	-95.9274
7	1	29.6786	-95.9274
7	1	29.5524	-95.9003
7	1	29.5524	-95.9003
7	1	29.6727	-95.9129
7	1	30.0217	-95.581
7	1	30.0893	-95.6008
7	1	30.0982	-95.513
7	1	30.0982	-95.513
7	1	30.0122	-95.5522
7	1	30.0194	-95.5306
7	1	30.055	-95.524
7	1	30.0404	-95.5877
7	1	29.9989	-95.4873
7	1	29.9989	-95.4873
7	1	30.016	-95.4687
7	1	30.0401	-95.4757
7	1	30.0899	-95.5393
7	1	30.0793	-95.4703
7	1	30.0793	-95.4703
7	1	30.0581	-95.4637
7	1	29.9889	-95.5153
7	1	30.1015	-95.5666
7	1	30.0592	-95.5669
7	1	30.031	-95.5275
7	1	30.031	-95.5275
7	1	30.0575	-95.4999
7	1	30.0575	-95.4999
7	1	30.061	-95.6072
7	1	30.061	-95.6072
7	1	30.0273	-95.4983
7	1	29.6579	-95.0867
