Contingency	Rank	Frequency	Cost	Green	Yellow	Orange	Red	With_consequences	With_issues
A28_end2-BREAKER_end2-A32-1	325	0.004	0	80.00	20.00	0.00	0.00	0.00	20.00
C26_end1-BREAKER_end1-C24	576	0.009	0	83.33	16.67	0.00	0.00	0.00	16.67
C26_end1-BREAKER_end1-C25-2	578	0.009	0	84.29	15.71	0.00	0.00	0.00	15.71
C24_end2-BREAKER_end1-C26	558	0.003	0	86.96	13.04	0.00	0.00	0.00	13.04
C26_end1-BREAKER_end1-C25-1	577	0.009	0	87.14	12.86	0.00	0.00	0.00	12.86
B31-1_end2-BREAKER_end2-B34	493	0.009	0	94.05	5.95	0.00	0.00	0.00	5.95
B18_end2-BREAKER_end2-B22	390	0.00825	0	96.63	3.37	0.00	0.00	0.00	3.37
B34_end1-BREAKER_end1-B25-2	517	0.01175	0	96.70	3.30	0.00	0.00	0.00	3.30
B34_end1-BREAKER_end1-B31-1	518	0.01175	0	96.81	3.19	0.00	0.00	0.00	3.19
B34_end1-BREAKER_end1-B31-2	519	0.01175	0	96.81	3.19	0.00	0.00	0.00	3.19
A28_end1-BREAKER_end1-A24	319	0.004	0	97.78	2.22	0.00	0.00	0.00	2.22
C28_end2-BREAKER_end2-C32-2	602	0.004	0	97.78	2.22	0.00	0.00	0.00	2.22
A33-1_end2-BREAKER_end1-A33-2	369	0.0075	0	98.39	1.61	0.00	0.00	0.00	1.61
C23_end2-BREAKER_end2-C28	549	0.00675	0	98.39	1.61	0.00	0.00	0.00	1.61
A31-1_end1-BREAKER_end2-CA-1	346	0.009	0	98.57	1.43	0.00	0.00	0.00	1.43
B30_end1-BREAKER_end1-B29	476	0.01825	0	98.59	1.41	0.00	0.00	0.00	1.41
CA-2_end2-BREAKER_end2-A31-1	687	0.01675	0	98.75	1.25	0.00	0.00	0.00	1.25
A31-1_end2-BREAKER_end1-CA-2	349	0.009	0	98.81	1.19	0.00	0.00	0.00	1.19

